fecha,anio,mes,tienda_id,tienda_nombre,formato,distrito,nse,categoria_id,categoria,ventas,costo_ventas,margen_bruto,merma,unidades,precio_promedio
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C01,Abarrotes,71738.89,59697.41,12041.49,1275.93,1769,40.54
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C02,Perecibles,87274.64,65865.92,21408.72,6763.92,8337,10.47
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C03,Bebidas,60619.05,49177.12,11441.93,533.17,1644,36.85
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C04,Lacteos,70869.82,56316.28,14553.54,3982.08,7478,9.48
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C05,Carnes y Pescados,90104.36,62652.8,27451.56,7768.72,1804,49.93
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C06,Panaderia,60440.96,36533.13,23907.83,8261.05,1732,34.89
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C07,Limpieza,90712.88,67788.18,22924.7,1078.8,3584,25.31
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C08,Cuidado Personal,80348.98,51226.93,29122.05,919.74,2379,33.77
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C09,Congelados,74703.09,54121.58,20581.51,2052.29,5931,12.6
2022-01-01,2022,1,T01,ABC Miraflores,Express,Miraflores,AB,C10,Frutas y Verduras,56301.23,36331.8,19969.43,8903.54,2277,24.72
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C01,Abarrotes,63384.56,52772.92,10611.64,1489.11,1723,36.77
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C02,Perecibles,72796.77,51012.58,21784.19,5039.64,2872,25.35
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C03,Bebidas,97495.81,75680.28,21815.53,1046.95,2163,45.06
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C04,Lacteos,80718.77,66841.11,13877.66,3738.01,3919,20.59
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C05,Carnes y Pescados,65547.57,42204.03,23343.54,6068.86,1767,37.09
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C06,Panaderia,74099.41,41166.3,32933.11,8055.66,3762,19.69
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C07,Limpieza,72200.83,53692.58,18508.25,836.9,2756,26.19
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C08,Cuidado Personal,66613.18,43231.94,23381.25,557.13,5945,11.2
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C09,Congelados,57126.7,38486.99,18639.71,1660.44,4799,11.9
2022-01-01,2022,1,T02,ABC San Isidro,Express,San Isidro,AB,C10,Frutas y Verduras,74530.7,45961.66,28569.04,13286.19,1626,45.83
2022-01-01,2022,1,T03,ABC Surco,Supermarket,Surco,AB,C01,Abarrotes,111337.68,90204.41,21133.27,2259.68,5416,20.55
2022-01-01,2022,1,T03,ABC Surco,Supermarket,Surco,AB,C02,Perecibles,151976.51,110255.88,41720.63,11933.07,3052,49.78
2022-01-01,2022,1,T03,ABC Surco,Supermarket,Surco,AB,C03,Bebidas,177651.38,138561.2,39090.17,1548.16,3698,48.03
2022-01-01,2022,1,T03,ABC Surco,Supermarket,Surco,AB,C04,Lacteos,178485.89,141300.68,37185.21,9313.29,11366,15.7
